tag_id,division,sub_division,track,major,minor,next_tag_up,next_tag_down,Chainage
646,BD,BD_EB_B3,1,130,98,820,647,130.98
647,BD,BD_EB_B3,1,126,36,646,648,126.36
648,BD,BD_EB_B3,1,125,55,647,649,125.55
649,BD,BD_EB_B3,1,125,37,648,650,125.37
650,BD,BD_EB_B3,1,124,40,649,651,124.4
651,BD,BD_EB_B3,1,122,33,650,652,122.33
652,BD,BD_EB_B3,1,120,48,651,653,120.48
653,BD,BD_EB_B3,1,117,23,652,654,117.23
654,BD,BD_EB_B3,1,115,38,653,655,115.38
655,BD,BD_EB_B3,1,111,3,654,656,111.03
656,BD,BD_EB_B3,1,107,3,655,657,107.03
657,BD,BD_EB_B3,1,101,83,656,658,101.83
658,BD,BD_EB_B3,1,97,13,657,822,97.13
822,BD,BD_EB_B3,1,94,8,658,659,94.08
659,BD,BD_EB_B3,1,91,3,822,1807,91.03
1807,BD,BD_EB_B3,1,87,64,659,660,87.64
660,BD,BD_EB_B3,1,85,3,1807,661,85.03
661,BD,BD_EB_B3,1,84,53,660,662,84.53
662,BD,BD_EB_B3,1,82,84,661,663,82.84
663,BD,BD_EB_B3,1,82,14,662,,82.14
